epoch,acc,loss,val_acc,val_loss
0,0.35787433,1.332815547085785,0.4668588,1.2835842316020118
1,0.63935786,1.0096477996006323,0.6570605,0.9415125544545286
2,0.7904788,0.5992571197980135,0.685879,0.7870589197540833
3,0.8508165,0.4174313202331246,0.6743516,0.7988314652649058
4,0.8845835,0.33152797938613987,0.67723346,0.8677090981851737
5,0.9053418,0.2690416531915187,0.685879,0.9007411758906559
6,0.9233324,0.22408588141937055,0.6829971,0.9089707196274134
7,0.93938553,0.18757326552454137,0.6801153,1.0215262308587945
8,0.9493496,0.1635432768207886,0.6801153,1.0326592271197426
9,0.9570994,0.14526676331122695,0.6743516,1.1168401863114634
10,0.96457237,0.1293854907612836,0.6685879,1.201769726077143
11,0.9634653,0.11896402015147894,0.66570604,1.2646055496391715
12,0.9706615,0.10037599409959536,0.6829971,1.2814405833609852
13,0.9703847,0.09484054072309722,0.6743516,1.363510786284631
14,0.9706615,0.09520399832977933,0.66570604,1.4153899201742166
15,0.9717686,0.09157889958913393,0.66570604,1.4132582794348858
16,0.97342926,0.08086710288159708,0.66570604,1.4366361758207382
17,0.9731525,0.080255121854643,0.66570604,1.4897586279025339
18,0.97619706,0.07703872325675758,0.6801153,1.4761143417798133
19,0.97592026,0.07510403115812708,0.67723346,1.562346827056291
20,0.97868806,0.06701151364081591,0.6685879,1.5533104911661286
21,0.97730416,0.07365683882752186,0.66570604,1.5494936220240525
22,0.97592026,0.06775669211442094,0.6541787,1.6242332994422584
23,0.97647387,0.06656967946698122,0.65129685,1.6643214995304514
24,0.97868806,0.06388287353253318,0.67146975,1.6650975080319714
